accepted_name	accepted_authority	accepted_status	lsid_act	clade	species_id
Acamptonectes densus	Fischer2012PO	orig	urn:lsid:zoobank.org:act:AAB4BA7E-F53D-4962-8A9C-3240DFE2C4D8	Ichthyosauriformes	1
Aegirosaurus leptospondylus	Wagner1853BKAWGA	ncomb		Ichthyosauriformes	2
Acuetzpalin carranzai	BarrientosLara2020JSAES	orig	urn:lsid:zoobank.org:act:90130A25-6901-4DA6-84B8-D0680DF9BCAB	Ichthyosauriformes	3
Arthropterygius chrisorum	Russell1993BGSC	ncomb		Ichthyosauriformes	4
Arthropterygius hoybergeti	Druckenmiller2012NJG	ncomb	urn:lsid:zoobank.org:act:03BA5E23-17B5-4AB1-B98A-681B9968A3F9	Ichthyosauriformes	5
Arthropterygius lundi	Roberts2014PO	ncomb	urn:lsid:zoobank.org:act:71E65B35-7215-44AA-BCE7-E9A3B265E04F	Ichthyosauriformes	6
Arthropterygius thalassonotus	Campos2019ZJLS	orig	urn:lsid:zoobank.org:act:3F09C714-961C-433C-B056-DFD3F8E3B5CD	Ichthyosauriformes	7
Arthropterygius volgensis	Kasansky1903TOEPIKU	ncomb		Ichthyosauriformes	126
Athabascasaurus bitumineus	Druckenmiller2010CJES	orig	urn:lsid:zoobank.org:act:1CE8B3C1-8771-443A-8831-00025FB84CA6	Ichthyosauriformes	8
Barracudasauroides panxianensis	Jiang2006JVP	ncomb	urn:lsid:zoobank.org:act:05C7C635-6E53-4070-8856-047553A6B0BF	Ichthyosauriformes	9
Besanosaurus leptorhynchus	DalSasso1996PL	orig	urn:lsid:zoobank.org:act:47C32E1B-18FE-40CF-B98E-E9A537601E43	Ichthyosauriformes	10
Brachypterygius alekseevi	Arkhangelsky2001PJ	ncomb		Ichthyosauriformes	11
Brachypterygius extremus	Boulenger1904PZSL	ncomb	urn:lsid:zoobank.org:act:5B04A1AF-9081-417D-9BFC-DC3AFA6DAAE3	Ichthyosauriformes	12
Brachypterygius pseudoscythica	Efimov1998PZ	ncomb		Ichthyosauriformes	13
Californosaurus perrini	Merriam1902UCBDG	ncomb		Ichthyosauriformes	14
Callawayia neoscapularis	McGowan1994JVPa	ncomb		Ichthyosauriformes	15
Cartorhynchus lenticarpus	Motani2015N	orig	urn:lsid:zoobank.org:act:FCCC9BB7-FD52-42F4-B2EC-B0B7E2A1CA32	Ichthyosauriformes	16
Caypullisaurus bonapartei	Fernandez1997JP	orig	urn:lsid:zoobank.org:act:046EED7E-C624-465F-B0D4-1BB782CCD97D	Ichthyosauriformes	17
Cetarthrosaurus walkeri	Seeley1873QJGS	ncomb		Ichthyosauriformes	18
Chacaicosaurus cayi	Fernandez1994A	orig		Ichthyosauriformes	19
Chaohusaurus brevifemoralis	Huang2019Pa	orig	urn:lsid:zoobank.org:act:B0085E53-C6E4-4C2E-96FF-6D485D3585BA	Ichthyosauriformes	20
Chaohusaurus chaoxianensis	Chen1985RGC	ncomb		Ichthyosauriformes	21
Chaohusaurus geishanensis	Young1972MNIGP	orig		Ichthyosauriformes	22
Chaohusaurus zhangjiawanensis	Chen2013AGS	orig		Ichthyosauriformes	23
Contectopalatus atavus	Quenstedt1852	ncomb		Ichthyosauriformes	24
Cymbospondylus buchseri	Sander1989JVP	orig		Ichthyosauriformes	25
Cymbospondylus nichollsi	Frobisch2006ZJLS	orig		Ichthyosauriformes	26
Cymbospondylus petrinus	Leidy1868PANSP	orig		Ichthyosauriformes	27
Cymbospondylus piscosus?	Leidy1868PANSP	orig		Ichthyosauriformes	28
Dearcmhara shawcrossi	Brusatte2015SJGa	orig		Ichthyosauriformes	29
Eurhinosaurus longirostris	Mantell1851	ncomb		Ichthyosauriformes	30
Excalibosaurus costini	McGowan1986N	orig		Ichthyosauriformes	31
Gengasaurus nicosiai	Paparella2016GM	orig		Ichthyosauriformes	32
Grippia longirostris	Wiman1929BGIU	orig		Ichthyosauriformes	33
Guizhouichthyosaurus tangae	Yin2000GG	orig		Ichthyosauriformes	34
Guizhouichthyosaurus wolonggangense	Chen2007GC	ncomb		Ichthyosauriformes	35
Gulosaurus helmi	Cuthbertson2013JVP	orig		Ichthyosauriformes	36
Hauffiopteryx altera	Maxwell2020PE	orig	urn:lsid:zoobank.org:act:A567A292-2A58-495A-839F-FF8382B49479	Ichthyosauriformes	37
Hauffiopteryx typicus	Maisch2008P	orig		Ichthyosauriformes	38
Himalayasaurus tibetensis	Young1972MNIGP	orig		Ichthyosauriformes	39
Hudsonelpidia brevirostris	McGowan1995CJES	orig		Ichthyosauriformes	40
Ichthyosaurus acutirostris	Owen1840RBAAS	orig		Ichthyosauriformes	41
Ichthyosaurus anningae	Lomax2015JVP	orig		Ichthyosauriformes	42
Ichthyosaurus breviceps	Owen1881MPS	orig		Ichthyosauriformes	43
Ichthyosaurus communis	Conybeare1822TGSL	orig		Ichthyosauriformes	44
Ichthyosaurus conybeari	Lydekker1888GM	orig		Ichthyosauriformes	45
Ichthyosaurus larkini	Lomax2017PP	orig		Ichthyosauriformes	46
Ichthyosaurus somersetensis	Lomax2017PP	orig		Ichthyosauriformes	47
Isfjordosaurus minor	Wiman1910BGIUa	ncomb		Ichthyosauriformes	48
