reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Arkhangelsky1997PZ	88	Paraophthalmosaurus saveljeviensis	Arkhangelsky1997PZ	orig		*	Y	Nannopterygius saveljeviensis																	1
Arkhangelsky2001PJ	629	Otschevia alekseevi	Arkhangelsky2001PJ	orig		*	Y	Brachypterygius alekseevi					*Dorsoplanites panderi* Ammonite Biozone		Volgian	Upper Jurassic	Jurassic	Volga River, 18 km north of Ulyanovsk, Ulyanovsk District, Ulyanovsk Region, Russian	RU						2
Bardet2000JP	504	Aegirosaurus leptospondylus	Wagner1853BKAWGA	ncomb			Y	Aegirosaurus leptospondylus		Solnhofen Formation		Malm ζ 2b			early Lower Tithonian	Upper Jurassic	Jurassic	Borscheim, Schrandel quarry district; Bavaria, Germany	DE						3
BarrientosLara2020JSAES	3	Acuetzpalin carranzai	BarrientosLara2020JSAES	orig		*	Y	Acuetzpalin carranzai	urn:lsid:zoobank.org:act:90130A25-6901-4DA6-84B8-D0680DF9BCAB	La Casita Formation					Kimmeridgian	Upper Jurassic	Jurassic	Cerro de Palotes, near of Cuencamé, Durango state, Northeast Mexico	MX					urn:lsid:zoobank.org:pub:2287DBB3-3E85-409D-9D97-A946DE865FCB	4
Boulenger1904PZSL	425	Ichthyosaurus extremus	Boulenger1904PZSL	orig		v *	Y	Brachypterygius extremus	urn:lsid:zoobank.org:act:5B04A1AF-9081-417D-9BFC-DC3AFA6DAAE3	Kimmeridge Clay Formation					Kimmeridgian–Tithonian	Upper Jurassic	Jurassic	Smallmouth Sands, Weymouth, Dorset, U.K.	GB					urn:lsid:zoobank.org:pub:98E5CD50-9FAF-458D-9D0A-9464EF76F429	5
Campos2019ZJLS	184	Arthropterygius thalassonotus	Campos2019ZJLS	orig		*	Y	Arthropterygius thalassonotus	urn:lsid:zoobank.org:act:3F09C714-961C-433C-B056-DFD3F8E3B5CD	Vaca Muerta Formation					late Tithonian	Upper Jurassic	Jurassic	Yesera del Tromen–Pampa Tril area, north-western Neuquén Province, Argentina	AR					urn:lsid:zoobank.org:pub:A668AA96-CE4F-442E-AD3E-B757AD580CFC	6
Carter1846RBAAS	60	Ichthyosaurus campylodon	Carter1846RBAAS	orig		*	Y	Pervushovisaurus campylodon		Upper Greensand Formation					Albian–Cenomanian	Lower–Upper Cretaceous	Cretaceous	Cambridge,  Cambridgeshire, U.K.	GB						7
Fischer2012PO	3	Acamptonectes densus	Fischer2012PO	orig		v *	Y	Acamptonectes densus	urn:lsid:zoobank.org:act:AAB4BA7E-F53D-4962-8A9C-3240DFE2C4D8	Speeton Clay Formation			*Simbiskites concinnus/staffi* ammonite biozones		basal–upper Hauterivian	Lower Cretaceous	Cretaceous	Speeton, Yorkshire, U.K.	GB					urn:lsid:zoobank.org:pub:66B3821A-1025-48DC-9C5F-7E6277FFD975	8
Fischer2012PO	3	Acamptonectes densus	Fischer2012PO	orig			Y	Acamptonectes densus					*Simbiskites concinnus/staffi* ammonite biozones		basal–upper Hauterivian	Lower Cretaceous	Cretaceous	Cremlingen, Lower Saxony, Germany	DE					urn:lsid:zoobank.org:pub:66B3821A-1025-48DC-9C5F-7E6277FFD975	9
DalSasso1996PL	4	Besanosaurus leptorhynchus	DalSasso1996PL	orig		*	Y	Besanosaurus leptorhynchus	urn:lsid:zoobank.org:act:47C32E1B-18FE-40CF-B98E-E9A537601E43	Besano Formation			*Nevadites secedensis* Ammonite Biozone		Ilyrian, Anisian	Middle Triassic	Triassic	Sasso Caldo, Italy	IT		45.901028	8.919611		urn:lsid:zoobank.org:pub:EEA0F11C-D7BF-41BE-856E-DC2F3599273A	10
Delsett2016GSLSP		Janusaurus lundi	Roberts2014PO	orig			N	Arthropterygius lundi																	11
Delsett2017PO		Janusaurus lundi	Roberts2014PO	orig			N	Arthropterygius lundi																	12
Delsett2017PO	7	Keilhauia nui	Delsett2017PO	orig		?	Y	Arthropterygius chrisorum		Agardfjellet Formation	Slottsmøya Member				early Berriasian	Lower Cretaceous	Cretaceous	Janusfjellet, Spitsbergen, Svalbard	SJ	33X 0518847 8696044			*fide* @Zverkov2019P		13
Delsett2018P	8	Palvennia hoybergeti	Druckenmiller2012NJG	orig		p	Y	Arthropterygius hoybergeti												33X 0519622 8695649					14
Delsett2018P	8	Palvennia hoybergeti	Druckenmiller2012NJG	orig		p	Y	Arthropterygius chrisorum												33X 0519622 8695649			[PMO 222.669]{.specimen} *fide* @Zverkov2019P		15
Druckenmiller2010CJES	1039	Athabascasaurus bitumineus	Druckenmiller2010CJES	orig		v *	Y	Athabascasaurus bitumineus	urn:lsid:zoobank.org:act:1CE8B3C1-8771-443A-8831-00025FB84CA6	Clearwater Formation	Wabiskaw Member				lowermost Albian	Lower Cretaceous	Cretaceous	~35 km north of Fort McMurray, Alberta, Canada	CA	12V 459464 6317120	56.995833	-111.667222		urn:lsid:zoobank.org:pub:2540811F-95E5-45BB-9B32-8E0416F61681	16
