                                   ,incompleteness,completeness
Acamptonectes_densus               ,0.581881533   ,0.418118467 
Aegirosaurus_leptospondylus        ,0.355400697   ,0.644599303 
Arthropterygius_chrisorum          ,0.773519164   ,0.226480836 
Athabascasaurus_bitumineus         ,0.668989547   ,0.331010453 
Barracudasauroides_panxianensis    ,0.317073171   ,0.682926829 
Besanosaurus_leptorhynchus         ,0.369337979   ,0.630662021 
Brachypterygius_extremus           ,0.442508711   ,0.557491289 
Brachypterygius_pseudoscythica     ,0.721254355   ,0.278745645 
Californosaurus_perrini            ,0.644599303   ,0.355400697 
Callawayia_neoscapularis           ,0.226480836   ,0.773519164 
Cartorhynchus_lenticarpus          ,0.494773519   ,0.505226481 
Caypullisaurus_bonapartei          ,0.411149826   ,0.588850174 
Chacaicosaurus_cayi                ,0.808362369   ,0.191637631 
Chaohusaurus_chaoxianensis         ,0.257839721   ,0.742160279 
Chaohusaurus_geishanensis          ,0.630662021   ,0.369337979 
Chaohusaurus_zhangjiawanensis      ,0.43554007    ,0.56445993  
Contectopalatus_atavus             ,0.240418118   ,0.759581882 
Cryopterygius_kielanae             ,0.731707317   ,0.268292683 
Cryopterygius_kristiansenae        ,0.404181185   ,0.595818815 
Cymbospondylus_buchseri            ,0.585365854   ,0.414634146 
Cymbospondylus_nichollsi           ,0.62369338    ,0.37630662  
Cymbospondylus_petrinus            ,0.202090592   ,0.797909408 
Cymbospondylus_piscosus            ,0.986062718   ,0.013937282 
Dearcmhara_shawcrossi              ,0.954703833   ,0.045296167 
Eurhinosaurus_longirostris         ,0.149825784   ,0.850174216 
Excalibosaurus_costini             ,0.31358885    ,0.68641115  
Gengasaurus_nicosiai               ,0.738675958   ,0.261324042 
Grendelius_alekseevi               ,0.533101045   ,0.466898955 
Grendelius_zhuravlevi              ,0.846689895   ,0.153310105 
Grippia_longirostris               ,0.226480836   ,0.773519164 
Guizhouichthyosaurus_tangae        ,0.132404181   ,0.867595819 
Guizhouichthyosaurus_wolonggangense,0.445993031   ,0.554006969 
Gulosaurus_helmi                   ,0.449477352   ,0.550522648 
Hauffiopteryx_typicus              ,0.052264808   ,0.947735192 
Himalayasaurus_tibetensis          ,0.958188153   ,0.041811847 
Hudsonelpidia_brevirostris         ,0.68641115    ,0.31358885  
Hupehsuchus_nanchangensis          ,0.480836237   ,0.519163763 
Ichthyosaurus_acutirostris         ,0.445993031   ,0.554006969 
Ichthyosaurus_anningae             ,0.428571429   ,0.571428571 
Ichthyosaurus_breviceps            ,0.229965157   ,0.770034843 
Ichthyosaurus_communis             ,0.020905923   ,0.979094077 
Ichthyosaurus_conybeari            ,0.268292683   ,0.731707317 
Ichthyosaurus_larkini              ,0.275261324   ,0.724738676 
Ichthyosaurus_somersetensis        ,0.18815331    ,0.81184669  
Isfjordosaurus_minor               ,0.954703833   ,0.045296167 
