Taxon                    ,Completeness(%)
Cymbospondylus_piscosus  ,0.013937282    
Isfjordosaurus_minor     ,0.045296167    
Dearcmhara_shawcrossi    ,0.045296167    
Platypterygius_hauthali  ,0.139372822    
Grendelius_zhuravlevi    ,0.153310105    
Undorosaurus_trautscholdi,0.170731707    
Chacaicosaurus_cayi      ,0.191637631    
Malawania_anachronus     ,0.216027875    
Toretocnemus_californicus,0.219512195    
Arthropterygius_chrisorum,0.226480836    
Pessopteryx_nisseri      ,0.240418118    
Leninia_stellans         ,0.268292683    
Californosaurus_perrini  ,0.355400697    
Cymbospondylus_nichollsi ,0.37630662     
